institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,partner_domain,status,http_code,integrity_status,final_url,video_links_found_total,embedded_video_signals_total,candidate_internal_pages,priority_review,warning,error
Archives départementales du Lot,archives-d-partementales-du-lot,France,Europe,FR-FRAD046,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD046,True,True,http://archives.lot.fr/,archives.lot.fr,ok,200,integro,https://archives.lot.fr/,0,0,5,baixa,,
Archives départementales du Lot-et-Garonne,archives-d-partementales-du-lot-et-garonne,France,Europe,FR-FRAD047,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD047,True,True,http://www.cg47.org/archives/accueil.htm,cg47.org,erro,,instavel,http://www.cg47.org/archives/accueil.htm,0,0,0,alta,,Timeout ou falha no carregamento
Archives départementales du Maine-et-Loire,archives-d-partementales-du-maine-et-loire,France,Europe,FR-FRAD049,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD049,True,True,http://www.archives49.fr,archives.maine-et-loire.fr,ok,200,integro,https://archives.maine-et-loire.fr/,1,6,5,media,,
Archives départementales du Nord,archives-d-partementales-du-nord,France,Europe,FR-FRAD059,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD059,True,True,https://archivesdepartementales.lenord.fr,archivesdepartementales.lenord.fr,ok,200,integro,https://archivesdepartementales.lenord.fr/,0,0,5,baixa,,
Archives départementales du Pas-de-Calais,archives-d-partementales-du-pas-de-calais,France,Europe,FR-FRAD062,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD062,True,True,http://www.archivespasdecalais.fr,archivespasdecalais.fr,restrito,403,restrito,https://www.archivespasdecalais.fr/,0,0,0,alta,,
Archives départementales du Puy-de-Dôme,archives-d-partementales-du-puy-de-d-me,France,Europe,FR-FRAD063,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD063,True,True,http://www.archivesdepartementales.puydedome.fr/,archivesdepartementales.puy-de-dome.fr,ok,200,integro,https://www.archivesdepartementales.puy-de-dome.fr/,0,0,0,baixa,,
Archives départementales du Rhône,archives-d-partementales-du-rh-ne,France,Europe,FR-FRAD069,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD069,True,True,http://archives.rhone.fr/,archives.rhone.fr,ok,200,integro,https://archives.rhone.fr/,0,0,5,baixa,,
Archives départementales du Tarn,archives-d-partementales-du-tarn,France,Europe,FR-FRAD081,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD081,True,True,http://archives.tarn.fr,archives.tarn.fr,erro,,instavel,http://archives.tarn.fr,0,0,0,alta,,Timeout ou falha no carregamento
Archives départementales du Tarn-et-Garonne,archives-d-partementales-du-tarn-et-garonne,France,Europe,FR-FRAD082,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD082,True,True,http://www.archives82.fr/,archives82.fr,ok,200,integro,http://www.archives82.fr/,0,0,1,baixa,,
Archives départementales du Territoire de Belfort,archives-d-partementales-du-territoire-de-belfort,France,Europe,FR-FRAD090,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD090,True,True,http://www.archives.territoiredebelfort.fr/,archives.territoiredebelfort.fr,erro,,instavel,http://www.archives.territoiredebelfort.fr/,0,0,0,alta,,Timeout ou falha no carregamento
Archives départementales du Val-d'Oise,archives-d-partementales-du-val-d-oise,France,Europe,FR-00000002143,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000002143,True,True,http://archives.valdoise.fr/,archives.valdoise.fr,ok,200,integro,https://archives.valdoise.fr/,0,0,1,baixa,,
Archives départementales du Val-de-Marne,archives-d-partementales-du-val-de-marne,France,Europe,FR-FRAD094,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD094,True,True,http://archives.valdemarne.fr/,archives.valdemarne.fr,ok,200,integro,https://archives.valdemarne.fr/,1,1,5,media,,
Archives départementales du Var,archives-d-partementales-du-var,France,Europe,FR-FRAD083,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD083,True,True,http://www.archives.var.fr/,archives.var.fr,http_error,404,quebrado,http://www.archives.var.fr/,0,0,0,alta,,
Archives départementales du Vaucluse,archives-d-partementales-du-vaucluse,France,Europe,FR-FRAD084,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD084,True,True,http://archives.vaucluse.fr/,archives.vaucluse.fr,restrito,403,restrito,https://archives.vaucluse.fr/,0,0,0,alta,,
Archives municipales d'Aurillac,archives-municipales-d-aurillac,France,Europe,FR-FRAC015014,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC015014,True,True,https://bibliotheque-numerique.aurillac.fr/,bibliotheque-numerique.aurillac.fr,erro,,instavel,https://bibliotheque-numerique.aurillac.fr/,0,0,0,alta,,Timeout ou falha no carregamento
Archives municipales d'Auxerre,archives-municipales-d-auxerre,France,Europe,FR-00000028880,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028880,True,True,https://archives.auxerre.fr/,archives.auxerre.fr,ok,200,integro,https://archives.auxerre.fr/,0,0,1,baixa,,
Archives municipales de Bagneux,archives-municipales-de-bagneux,France,Europe,FR-FRAC92007,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC92007,True,True,https://archives.bagneux92.fr/,archives.bagneux92.fr,erro,,instavel,https://archives.bagneux92.fr/,0,0,0,alta,,Timeout ou falha no carregamento
Archives municipales de Bazas,archives-municipales-de-bazas,France,Europe,FR-FRAC33036,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC33036,True,True,https://archives-numeriques.ville-bazas.fr/,archives-numeriques.ville-bazas.fr,erro,,instavel,https://archives-numeriques.ville-bazas.fr/,0,0,0,alta,,Timeout ou falha no carregamento
Archives municipales de Cannes,archives-municipales-de-cannes,France,Europe,FR-00000028734,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028734,True,True,http://www.cannes.com/fr/culture/archives-municipales.html,cannes.com,ok,200,integro,https://www.cannes.com/fr/culture/archives-municipales.html,0,0,5,baixa,,
Archives municipales de Carmaux,archives-municipales-de-carmaux,France,Europe,FR-FRAC81060,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC81060,True,True,https://archives.carmaux.fr/,archives.carmaux.fr,ok,200,integro,https://archives.carmaux.fr/,0,0,5,baixa,,
Archives municipales de Chambéry,archives-municipales-de-chamb-ry,France,Europe,FR-FRAC73065,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC73065,True,True,https://archives.chambery.fr,archives.chambery.fr,ok,200,integro,https://archives.chambery.fr/,0,0,1,baixa,,
Archives municipales de Dieppe,archives-municipales-de-dieppe,France,Europe,FR-FRAC76217,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC76217,True,True,https://patrimoine.dieppe.fr,patrimoine.dieppe.fr,erro,,instavel,https://patrimoine.dieppe.fr,0,0,0,alta,,Timeout ou falha no carregamento
Archives municipales de Dijon,archives-municipales-de-dijon,France,Europe,FR-00000028888,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028888,True,True,https://archivesmunicipalesdijon.wordpress.com/,archivesmunicipalesdijon.wordpress.com,http_error,410,quebrado,https://archivesmunicipalesdijon.wordpress.com/,0,0,0,alta,,
Archives municipales de Grasse,archives-municipales-de-grasse,France,Europe,FR-FRAC06069,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC06069,True,True,http://www.ville-grasse.fr/archives_communales.html,ville-grasse.fr,http_error,404,quebrado,http://www.ville-grasse.fr/archives_communales.html,0,0,0,alta,Titulo da pagina sugere erro ou landing page generica.,
Archives municipales de Landerneau,archives-municipales-de-landerneau,France,Europe,FR-00000028887,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028887,True,True,http://patrimoine.landerneau.bzh/,patrimoine.landerneau.bzh,ok,200,integro,https://patrimoine.landerneau.bzh/,0,0,4,baixa,,
Archives municipales de Lille,archives-municipales-de-lille,France,Europe,FR-00000028753,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028753,True,True,http://archives.lille.fr/,archives.lille.fr,ok,200,integro,https://archives.lille.fr/,0,0,5,baixa,,
Archives municipales de Lyon,archives-municipales-de-lyon,France,Europe,FR-99999999999,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-99999999999,True,True,http://www.archives-lyon.fr/archives/,archives-lyon.fr,http_error,404,quebrado,https://www.archives-lyon.fr/archives/,0,0,1,alta,Titulo da pagina sugere erro ou landing page generica.,
Archives municipales de Marseille,archives-municipales-de-marseille,France,Europe,FR-FRAC13100,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC13100,True,True,https://www.marseille.fr/culture/patrimoine/les-archives-municipales,marseille.fr,ok,200,integro,https://www.marseille.fr/culture/patrimoine/les-archives-municipales,0,0,2,baixa,,
Archives municipales de Pontoise,archives-municipales-de-pontoise,France,Europe,FR-00000028735,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028735,True,True,https://www.ville-pontoise.fr/content/archives-municipales-en-ligne,ville-pontoise.fr,http_error,404,quebrado,https://ville-pontoise.fr/content/archives-municipales-en-ligne,0,0,1,alta,,
Archives municipales des Sables-d'Olonne,archives-municipales-des-sables-d-olonne,France,Europe,FR-FRAC85194,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC85194,True,True,https://archives.lessablesdolonne.fr/,archives.lessablesdolonne.fr,ok,200,integro,https://archives.lessablesdolonne.fr/,0,0,1,baixa,,
Archives nationales,archives-nationales,France,Europe,FR-FRAN,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAN,True,True,http://www.archives-nationales.culture.gouv.fr/,archives-nationales.culture.gouv.fr,ok,200,integro,https://www.archives-nationales.culture.gouv.fr/,0,0,1,baixa,,
Archives nationales d'Outre-Mer,archives-nationales-d-outre-mer,France,Europe,FR-FRANOM,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRANOM,True,True,http://www.archivesnationales.culture.gouv.fr/anom/fr/,archives-nationales-outre-mer.culture.gouv.fr,ok,200,integro,https://archives-nationales-outre-mer.culture.gouv.fr/,0,0,5,baixa,,
Archives nationales du monde du travail,archives-nationales-du-monde-du-travail,France,Europe,FR-FRANMT,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRANMT,True,True,https://archives-nationales-travail.culture.gouv.fr/,archives-nationales-travail.culture.gouv.fr,ok,200,integro,https://archives-nationales-travail.culture.gouv.fr/,0,0,5,baixa,,
Bibliothèque nationale de France (BnF),biblioth-que-nationale-de-france-bnf,France,Europe,FR-00000028785,Specialised governmental archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028785,True,True,https://www.bnf.fr/fr/les-archives-administratives-de-la-bnf,bnf.fr,ok,200,integro,https://www.bnf.fr/fr/les-archives-institutionnelles-de-la-bnf,0,0,3,baixa,,
Centre de recherche bretonne et celtique,centre-de-recherche-bretonne-et-celtique,France,Europe,FR-00000028903,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028903,True,True,https://www.univ-brest.fr/crbc/,univ-brest.fr,ok,200,integro,https://www.univ-brest.fr/crbc/,0,0,1,baixa,,
Centre Historique Minier,centre-historique-minier,France,Europe,FR-FRCHM,Business archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRCHM,True,True,http://avenioweb.chm-lewarde.com:8080/,avenioweb.chm-lewarde.com:8080,ok,200,integro,http://avenioweb.chm-lewarde.com:8080/,0,0,2,baixa,,
Centre national de la Danse,centre-national-de-la-danse,France,Europe,FR-FRCND,Specialised governmental archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRCND,True,True,http://mediatheque.cnd.fr/,mediatheque.cnd.fr,erro,,instavel,http://mediatheque.cnd.fr/,0,0,0,alta,,Timeout ou falha no carregamento
Centre national des archives de l'Eglise de France,centre-national-des-archives-de-l-eglise-de-france,France,Europe,FR-00000028898,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028898,True,True,https://cnaef.catholique.fr/,eglise.catholique.fr,ok,200,integro,https://eglise.catholique.fr/conference-des-eveques-de-france/cef/le-centre-national-des-archives-de-leglise-de-france-cnaef/,4,4,0,media,,
CFDT - Archives,cfdt-archives,France,Europe,FR-00000028899,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028899,True,True,http://archives.memoires.cfdt.fr/,archives.memoires.cfdt.fr,ok,200,integro,https://archives.memoires.cfdt.fr/,0,0,5,baixa,,
Cité de l'architecture et du patrimoine (CAPA) - Centre d'archives d'architecture contemporaine,cit-de-l-architecture-et-du-patrimoine-capa-centre-d-archives-d-architecture-contemporaine,France,Europe,FR-FRAPN02,Specialised governmental archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAPN02,True,True,https://archiwebture.citedelarchitecture.fr/,archiwebture.citedelarchitecture.fr,ok,200,integro,https://archiwebture.citedelarchitecture.fr/,0,0,0,baixa,,
Collège de France,coll-ge-de-france,France,Europe,FR-FRCDF,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRCDF,True,True,https://www.college-de-france.fr/site/bibliotheques-archives/index.htm,college-de-france.fr,ok,200,integro,https://www.college-de-france.fr/fr/bibliotheques-archives,0,0,5,baixa,,
Communauté d'agglomération Pau-Pyrénées,communaut-d-agglom-ration-pau-pyr-n-es,France,Europe,FR-FRACCPAU,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRACCPAU,True,True,http://archives.agglo-pau.fr,archives.agglo-pau.fr,ok,200,integro,https://archives.agglo-pau.fr/,0,0,5,baixa,,
Commune d'Abbeville - Archives municipales,commune-d-abbeville-archives-municipales,France,Europe,FR-FRAC80001,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC80001,True,True,https://patrimoine.abbeville.fr/,patrimoine.abbeville.fr,erro,,instavel,https://patrimoine.abbeville.fr/,0,0,0,alta,,Timeout ou falha no carregamento
Commune de Bourges - Archives communales et communautaires,commune-de-bourges-archives-communales-et-communautaires,France,Europe,FR-00000029110,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000029110,True,True,https://archives.bourgesplus.fr/,archives.bourgesplus.fr,ok,200,integro,https://archives.bourgesplus.fr/,0,0,0,baixa,,
Ecole française d'Extrême-Orient,ecole-fran-aise-d-extr-me-orient,France,Europe,FR-751169801,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-751169801,True,True,https://archives.efeo.fr/,archives.efeo.fr,ok,200,integro,https://archives.efeo.fr/,0,0,5,baixa,,
Fondation Maison des sciences de l'homme,fondation-maison-des-sciences-de-l-homme,France,Europe,FR-00000032010,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000032010,True,True,http://www.fmsh.fr/fr/c/238,fmsh.fr,http_error,404,quebrado,https://www.fmsh.fr/c/238,0,0,0,alta,Titulo da pagina sugere erro ou landing page generica.,
Humathèque Condorcet,humath-que-condorcet,France,Europe,FR-930019801,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-930019801,True,True,https://www.humatheque-condorcet.fr/,humatheque-condorcet.fr,ok,200,integro,https://www.humatheque-condorcet.fr/,0,2,5,media,,
La Contemporaine,la-contemporaine,France,Europe,FR-00000028858,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028858,True,True,http://www.lacontemporaine.fr/,lacontemporaine.fr,ok,200,integro,https://www.lacontemporaine.fr/fr/,0,0,1,baixa,,
Maison méditerranéenne des sciences de l'homme (MMSH) - Secteur Archives de la recherche,maison-m-diterran-enne-des-sciences-de-l-homme-mmsh-secteur-archives-de-la-recherche,France,Europe,FR-FRMMSH,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRMMSH,True,True,http://www.calames.abes.fr/pub/#details?id=FileId-1361,calames.abes.fr,ok,200,integro,https://calames.abes.fr/pub/#details?id=FileId-1361,0,0,0,baixa,,
Ministère de l’Europe et des Affaires étrangères – Archives diplomatiques,minist-re-de-l-europe-et-des-affaires-trang-res-archives-diplomatiques,France,Europe,FR-FRMAE,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRMAE,True,True,https://archivesdiplomatiques.diplomatie.gouv.fr/,archivesdiplomatiques.diplomatie.gouv.fr,erro,,instavel,https://archivesdiplomatiques.diplomatie.gouv.fr/,0,0,0,alta,,Timeout ou falha no carregamento
Musée du quai Branly - Jacques Chirac,mus-e-du-quai-branly-jacques-chirac,France,Europe,FR-00000028857,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028857,True,True,http://www.quaibranly.fr/fr/recherche-scientifique/catalogues-et-publications/bibliotheque-et-fonds-documentaires/catalogues/catalogue-des-archives-et-de-la-documentation/,quaibranly.fr,restrito,403,restrito,https://www.quaibranly.fr/fr/recherche-scientifique/catalogues-et-publications/bibliotheque-et-fonds-documentaires/catalogues/catalogue-des-archives-et-de-la-documentation/,0,0,5,alta,Titulo da pagina sugere erro ou landing page generica.,
Muséum national d'Histoire naturelle,mus-um-national-d-histoire-naturelle,France,Europe,FR-00000028859,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028859,True,True,http://bibliotheques.mnhn.fr/medias/medias.aspx?INSTANCE=EXPLOITATION,bibliotheques.mnhn.fr,ok,200,integro,https://bibliotheques.mnhn.fr/medias/medias.aspx?INSTANCE=EXPLOITATION,0,0,2,baixa,,
Observatoire de Paris,observatoire-de-paris,France,Europe,FR-00000028736,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028736,True,True,https://www.obspm.fr/-la-bibliotheque-.html,observatoiredeparis.psl.eu,ok,200,integro,https://observatoiredeparis.psl.eu/-la-bibliotheque-.html,0,0,0,baixa,,
Service d'archives Nice Côte d'Azur,service-d-archives-nice-c-te-d-azur,France,Europe,FR-FRAC006088,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAC006088,True,True,https://recherche.archives.nicecotedazur.org,recherche.archives.nicecotedazur.org,ok,200,integro,https://recherche.archives.nicecotedazur.org/archives/search,0,0,5,baixa,,
Service des archives de Nouvelle-Calédonie,service-des-archives-de-nouvelle-cal-donie,New Caledonia,Oceania,FR-FRCT988,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRCT988,True,True,http://www.archives.gouv.nc/,archives.gouv.nc,ok,200,integro,https://archives.gouv.nc/,0,0,5,baixa,,
Service interministériel des Archives de France,service-interminist-riel-des-archives-de-france,France,Europe,FR-SIAF,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-SIAF,True,True,http://www.francearchives.fr,francearchives.gouv.fr,ok,200,integro,https://francearchives.gouv.fr/,0,1,0,media,,
"Société historique de Pontoise, du Val-d'Oise et du Vexin",soci-t-historique-de-pontoise-du-val-d-oise-et-du-vexin,France,Europe,FR-FRSHAPVOV,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRSHAPVOV,True,True,https://www.societe-historique-pontoise.fr/,societe-historique-pontoise.fr,restrito,403,restrito,https://www.societe-historique-pontoise.fr/,0,0,0,alta,,
TOTAL SA - Archives historiques,total-sa-archives-historiques,France,Europe,FR-00000028871,Business archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028871,True,False,,,sem_site,,sem_site,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000028871,0,0,0,media,Instituicao sem webpage externa informada na base consultada.,
Central Historical Archive,central-historical-archive,Georgia,Asia,GE-00000002568,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=GE-00000002568,True,True,http://archives.gov.ge,archives.gov.ge,erro,,instavel,http://archives.gov.ge,0,0,0,alta,,Timeout ou falha no carregamento
Archiv der Berlin-Brandenburgischen Akademie der Wissenschaften,archiv-der-berlin-brandenburgischen-akademie-der-wissenschaften,Germany,Europe,DE-2458,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2458,True,True,http://archiv.bbaw.de,archiv.bbaw.de,ok,200,integro,https://archiv.bbaw.de/,0,0,0,baixa,,
Archiv der Evangelischen Kirche im Rheinland,archiv-der-evangelischen-kirche-im-rheinland,Germany,Europe,DE-2107,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2107,True,True,http://www.archiv-ekir.de,archiv.ekir.de,ok,200,integro,https://archiv.ekir.de/,0,0,0,baixa,,
Archiv der Hansestadt Lübeck,archiv-der-hansestadt-l-beck,Germany,Europe,DE-2392,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2392,True,True,http://www.archiv.luebeck.de,luebeck.de,ok,200,integro,https://www.luebeck.de/de/stadtleben/kultur/stadtarchiv/index.html,0,0,1,baixa,,
Archiv der Hansestadt Lüneburg,archiv-der-hansestadt-l-neburg,Germany,Europe,DE-2428,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2428,True,True,http://www.hansestadtlueneburg.de/Home-Hansestadt-Lueneburg/Gesellschaft-Soziales-und-Bildung/Bildung-hansestadt-lueneburg/Stadtarchiv-hansestadt-lueneburg.aspx,hansestadt-lueneburg.de,http_error,404,quebrado,https://www.hansestadt-lueneburg.de/Home-Hansestadt-Lueneburg/Gesellschaft-Soziales-und-Bildung/Bildung-hansestadt-lueneburg/Stadtarchiv-hansestadt-lueneburg.aspx,0,0,0,alta,Titulo da pagina sugere erro ou landing page generica.,
Archiv der Hansestadt Wismar,archiv-der-hansestadt-wismar,Germany,Europe,DE-WIS2,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-WIS2,True,True,http://www.wismar.de,wismar.de,ok,200,integro,https://www.wismar.de/,0,1,1,media,,
Archiv der Johannes Gutenberg-Universität Mainz,archiv-der-johannes-gutenberg-universit-t-mainz,Germany,Europe,DE-1985,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-1985,True,True,http://www.ub.uni-mainz.de/universitaetsarchiv/,ub.uni-mainz.de,ok,200,integro,https://www.ub.uni-mainz.de/de/universitaetsarchiv,0,0,0,baixa,,
Archiv der Martin-Luther-Universität Halle-Wittenberg,archiv-der-martin-luther-universit-t-halle-wittenberg,Germany,Europe,DE-2332,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2332,True,True,http://www.archiv.uni-halle.de/,archiv.uni-halle.de,ok,200,integro,https://www.archiv.uni-halle.de/,0,0,0,baixa,,
Archiv der Region Hannover,archiv-der-region-hannover,Germany,Europe,DE-2097,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2097,True,True,https://www.hannover.de/Leben-in-der-Region-Hannover/Bildung/Bibliotheken-Archive/Archiv-der-Region-Hannover,hannover.de,ok,200,integro,https://www.hannover.de/Leben-in-der-Region-Hannover/Bildung/Bibliotheken-Archive/Archiv-der-Region-Hannover,0,0,1,baixa,,
Archiv des Bistums Passau,archiv-des-bistums-passau,Germany,Europe,DE-00000001909,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000001909,True,True,http://www.bistum-passau.de/bistum/archiv,bistum-passau.de,http_error,404,quebrado,https://www.bistum-passau.de/bistum/archiv,0,0,0,alta,Titulo da pagina sugere erro ou landing page generica.,
Archiv des Erzbistums München und Freising,archiv-des-erzbistums-m-nchen-und-freising,Germany,Europe,DE-2043,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2043,True,True,http://www.erzbistum-muenchen.de/dioezesanarchiv,erzbistum-muenchen.de,ok,200,integro,https://www.erzbistum-muenchen.de/kunst-und-kultur/archiv-und-bibliothek,0,5,1,media,,
Archiv des Heine-Instituts,archiv-des-heine-instituts,Germany,Europe,DE-MUS-037814,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-MUS-037814,True,False,,,sem_site,,sem_site,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-MUS-037814,0,0,0,media,Instituicao sem webpage externa informada na base consultada.,
