institution,slug,country,continent,repository_code,ape_detail_url,archive_type,external_url,website_available,content_available_in_ape
"Hochschule für Bildende Künste Dresden, Archiv und Kustodie",hochschule-f-r-bildende-k-nste-dresden-archiv-und-kustodie,Germany,Europe,DE-2349,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2349,University and research archives,http://www.hfbk-dresden.de,True,True
Institut für Geschichte der Medizin,institut-f-r-geschichte-der-medizin,Germany,Europe,DE-Stg255,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Stg255,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.igm-bosch.de/startseite.html,True,True
Institut für Stadtgeschichte Frankfurt am Main,institut-f-r-stadtgeschichte-frankfurt-am-main,Germany,Europe,DE-2215,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2215,Municipal archives,http://stadtgeschichte-frankfurt.de,True,True
Internationales Archiv für Heilpädagogik | Emil E. Kobi Institut,internationales-archiv-f-r-heilp-dagogik-emil-e-kobi-institut,Germany,Europe,DE-00000028672,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000028672,Specialised non-governmental archives and archives of other cultural (heritage) institutions,http://www.archiv-heilpaedagogik.de,True,True
Kommunalarchiv Minden - Archiv der Stadt Minden und des Kreises Minden-Lübbecke,kommunalarchiv-minden-archiv-der-stadt-minden-und-des-kreises-minden-l-bbecke,Germany,Europe,DE-489,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-489,Municipal archives,http://www.kommunalarchiv-minden.de/,True,True
Konrad-Adenauer-Stiftung e.V. - Archiv für Christlich-Demokratische Politik,konrad-adenauer-stiftung-e-v-archiv-f-r-christlich-demokratische-politik,Germany,Europe,DE-2133,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2133,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",http://www.kas.de/wf/de/42.7/,True,True
Kreis Coesfeld. Kreisarchiv,kreis-coesfeld-kreisarchiv,Germany,Europe,DE-2243,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2243,Municipal archives,http://www.kreis-coesfeld.de,True,True
Kreis Soest - Kreisarchiv,kreis-soest-kreisarchiv,Germany,Europe,DE-2115,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2115,Municipal archives,http://www.archive.nrw.de/kommunalarchive/kommunalarchive_q-t/s/SoestKreis/wir_ueber_uns/index.php,True,True
"Kreis Warendorf. Kreisarchiv, Kreisverwaltung",kreis-warendorf-kreisarchiv-kreisverwaltung,Germany,Europe,DE-2238,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2238,Municipal archives,http://www.archive.nrw.de/kommunalarchive/kommunalarchive_u-z/w/WarendorfKreis/wir_ueber_uns/index.php,True,True
Kreisarchiv des Enzkreises,kreisarchiv-des-enzkreises,Germany,Europe,DE-Pfo2,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Pfo2,Municipal archives,https://www.enzkreis.de/index.php?NavID=2032.69.1,True,True
Kreisarchiv des Landkreises Darmstadt-Dieburg,kreisarchiv-des-landkreises-darmstadt-dieburg,Germany,Europe,DE-4528,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-4528,County/local authority archives,,False,True
Kreisarchiv des Landkreises Oder-Spree,kreisarchiv-des-landkreises-oder-spree,Germany,Europe,DE-2725,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2725,Municipal archives,http://www.l-os.de,True,True
Kreisarchiv des Rheinisch-Bergischen-Kreises,kreisarchiv-des-rheinisch-bergischen-kreises,Germany,Europe,DE-2439,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2439,Municipal archives,http://www.rbk-direkt.de,True,True
Kreisarchiv Euskirchen,kreisarchiv-euskirchen,Germany,Europe,DE-2364,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2364,Municipal archives,http://www.kreis-euskirchen.de,True,True
Kreisarchiv Höxter,kreisarchiv-h-xter,Germany,Europe,DE-2385,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2385,Municipal archives,http://www.archive.nrw.de/kommunalarchive/kommunalarchive_e-h/h/HoexterKreis/oeffnungszeiten_und_kontakt/index.php,True,True
Kreisarchiv Kleve,kreisarchiv-kleve,Germany,Europe,DE-Ged1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Ged1,Municipal archives,http://www.archive.nrw.de/kommunalarchive/kommunalarchive_e-h/g/Geldern_KleveKreis/wir_ueber_uns/profil/index.php,True,True
Kreisarchiv Landkreis Dahme-Spreewald,kreisarchiv-landkreis-dahme-spreewald,Germany,Europe,DE-2301,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2301,Municipal archives,http://www.dahme-spreewald.de/sixcms/detail.php/510,True,True
Kreisarchiv Mettmann,kreisarchiv-mettmann,Germany,Europe,DE-2147,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2147,Municipal archives,http://www.archive.nrw.de/kommunalarchive/kommunalarchive_m-p/m/MettmannKreis/wir_ueber_uns/profil/index.php,True,True
Kreisarchiv Nordwestmecklenburg,kreisarchiv-nordwestmecklenburg,Germany,Europe,DE-2099,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2099,County/local authority archives,http://www.nordwestmecklenburg.de/de/kreisarchiv.html,True,True
Kreisarchiv Reutlingen,kreisarchiv-reutlingen,Germany,Europe,DE-Rt7,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Rt7,Municipal archives,http://www.kreis-reutlingen.de/kreisarchiv,True,True
Kreisarchiv Steinfurt,kreisarchiv-steinfurt,Germany,Europe,DE-Bg4,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Bg4,Municipal archives,"https://www.kreis-steinfurt.de/kv_steinfurt/Kreisverwaltung/%C3%84mter/Amt%20f%C3%BCr%20Kultur,%20Tourismus%20und%20Heimatpflege/Kreisarchiv/",True,True
Kreisarchiv Stormarn,kreisarchiv-stormarn,Germany,Europe,DE-2410,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2410,Municipal archives,http://www.kreisarchiv-stormarn.de,True,True
Kreisarchiv Verden,kreisarchiv-verden,Germany,Europe,DE-00000029004,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000029004,Regional archives,https://www.landkreis-verden.de/portal/seiten/kreisarchiv-901000099-20600.html,True,True
"Landesarchiv Baden-Württemberg, Abt. 3. Staatsarchiv Freiburg",landesarchiv-baden-w-rttemberg-abt-3-staatsarchiv-freiburg,Germany,Europe,DE-00000899,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000899,Regional archives,http://www.landesarchiv-bw.de/staf,True,True
"Landesarchiv Baden-Württemberg, Abt. 4. Generallandesarchiv Karlsruhe",landesarchiv-baden-w-rttemberg-abt-4-generallandesarchiv-karlsruhe,Germany,Europe,DE-00000900,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000900,Regional archives,http://www.landesarchiv-bw.de/glak,True,True
"Landesarchiv Baden-Württemberg, Abt. 5. Außenstelle Hohenlohe - Zentralarchiv Neuenstein",landesarchiv-baden-w-rttemberg-abt-5-au-enstelle-hohenlohe-zentralarchiv-neuenstein,Germany,Europe,DE-00000901,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000901,Regional archives,http://www.landesarchiv-bw.de/hzan,True,True
"Landesarchiv Baden-Württemberg, Abt. 5. Staatsarchiv Ludwigsburg",landesarchiv-baden-w-rttemberg-abt-5-staatsarchiv-ludwigsburg,Germany,Europe,DE-00000902,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000902,Regional archives,http://www.landesarchiv-bw.de/stal,True,True
"Landesarchiv Baden-Württemberg, Abt. 6. Staatsarchiv Sigmaringen",landesarchiv-baden-w-rttemberg-abt-6-staatsarchiv-sigmaringen,Germany,Europe,DE-00000903,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000903,Regional archives,http://www.landesarchiv-bw.de/stas,True,True
"Landesarchiv Baden-Württemberg, Abt. 7. Hauptstaatsarchiv Stuttgart",landesarchiv-baden-w-rttemberg-abt-7-hauptstaatsarchiv-stuttgart,Germany,Europe,DE-00000905,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000905,Regional archives,http://www.landesarchiv-bw.de/hstas,True,True
"Landesarchiv Baden-Württemberg, Abt. 8. Staatsarchiv Wertheim",landesarchiv-baden-w-rttemberg-abt-8-staatsarchiv-wertheim,Germany,Europe,DE-00000906,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000906,Regional archives,http://www.landesarchiv-bw.de/staw,True,True
Landesarchiv Berlin,landesarchiv-berlin,Germany,Europe,DE-2297,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2297,Regional archives,http://www.landesarchiv-berlin.de,True,True
Landesarchiv Greifswald,landesarchiv-greifswald,Germany,Europe,DE-2109-LAG,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2109-LAG,Regional archives,http://www.kulturwerte-mv.de/cms2/LAKD1_prod/LAKD1/de/Landesarchiv/Landesarchiv_Greifswald/index.jsp,True,True
Landesarchiv Nordrhein-Westfalen. Abteilung Ostwestfalen-Lippe,landesarchiv-nordrhein-westfalen-abteilung-ostwestfalen-lippe,Germany,Europe,DE-2191,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2191,Regional archives,http://www.archive.nrw.de/lav/abteilungen/ostwestfalen_lippe/oeffnungszeiten_und_kontakt/index.php,True,True
Landesarchiv Nordrhein-Westfalen. Abteilung Rheinland,landesarchiv-nordrhein-westfalen-abteilung-rheinland,Germany,Europe,DE-00000911,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000911,Regional archives,http://www.archive.nrw.de/lav/abteilungen/rheinland/profil_zustaendigkeit/index.php,True,True
Landesarchiv Nordrhein-Westfalen. Abteilung Westfalen,landesarchiv-nordrhein-westfalen-abteilung-westfalen,Germany,Europe,DE-00000913,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000913,Regional archives,http://www.archive.nrw.de/lav/abteilungen/westfalen/oeffnungszeiten_und_kontakt/index.php,True,True
Landesarchiv Thüringen - Hauptstaatsarchiv Weimar,landesarchiv-th-ringen-hauptstaatsarchiv-weimar,Germany,Europe,DE-2208,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2208,Regional archives,http://,True,True
Landesarchiv Thüringen - Staatsarchiv Meiningen,landesarchiv-th-ringen-staatsarchiv-meiningen,Germany,Europe,DE-2194,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2194,Regional archives,,False,True
Landeshauptarchiv Sachsen-Anhalt,landeshauptarchiv-sachsen-anhalt,Germany,Europe,DE-Ma25,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Ma25,Regional archives,http://www.lha.sachsen-anhalt.de,True,True
Landeshauptarchiv Schwerin,landeshauptarchiv-schwerin,Germany,Europe,DE-2109,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2109,Regional archives,http://www.kulturwerte-mv.de/cms2/LAKD1_prod/LAKD1/de/Landesarchiv/Landeshauptarchiv_Schwerin/index.jsp,True,True
Landeskirchliches Archiv der Evangelisch-Lutherische Kirche in Norddeutschland,landeskirchliches-archiv-der-evangelisch-lutherische-kirche-in-norddeutschland,Germany,Europe,DE-2294,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2294,Church and religious archives,http://www.archivnordkirche.de/,True,True
Landeskirchliches Archiv Hannover,landeskirchliches-archiv-hannover,Germany,Europe,DE-2414,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2414,Church and religious archives,https://www.landeskirchlichesarchiv-hannover.de/,True,True
Landeskirchliches Archiv Karlsruhe,landeskirchliches-archiv-karlsruhe,Germany,Europe,DE-2221,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2221,Church and religious archives,http://www.archiv.ekiba.de/,True,True
Landeskirchliches Archiv Kassel,landeskirchliches-archiv-kassel,Germany,Europe,DE-2088,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2088,Church and religious archives,http://www.ekkw.de/archiv,True,True
Landeskirchliches Archiv Stuttgart,landeskirchliches-archiv-stuttgart,Germany,Europe,DE-1986,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-1986,Church and religious archives,http://www.archiv.elk-wue.de,True,True
"Landkreis Rostock, Kreisarchiv",landkreis-rostock-kreisarchiv,Germany,Europe,DE-R135,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-R135,County/local authority archives,http://www.landkreis-rostock.de/landkreis/kreisverwaltung/hauptamt/2_archiv.html,True,True
Lippmann+Rau-Musikarchiv Eisenach,lippmann-rau-musikarchiv-eisenach,Germany,Europe,DE-00000028994,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000028994,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.lippmann-rau-stiftung.de/l-r-musikarchiv/,True,True
LWL - Archivamt für Westfalen. Archiv des Landschaftsverbands Westfalen-Lippe,lwl-archivamt-f-r-westfalen-archiv-des-landschaftsverbands-westfalen-lippe,Germany,Europe,DE-2143,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2143,Regional archives,http://www.lwl.org/LWL/Kultur/Archivamt/Archiv_LWL,True,True
LWL - Archivamt für Westfalen. Westfälische Hofes- und Familienarchive,lwl-archivamt-f-r-westfalen-westf-lische-hofes-und-familienarchive,Germany,Europe,DE-2143-WHF,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2143-WHF,Private persons and family archives,http://www.archive.nrw.de/weitereArchive/privatarchive/WestfaelischeHofesFamilienarchive/wir_ueber_uns/index.php,True,True
LWL - Archivamt für Westfalen. Westfälisches Literaturarchiv,lwl-archivamt-f-r-westfalen-westf-lisches-literaturarchiv,Germany,Europe,DE-Mue305,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Mue305,Specialised governmental archives,http://www.lwl.org/LWL/Kultur/Archivamt/literaturarchiv,True,True
Märkischer Kreis. Kreisarchiv,m-rkischer-kreis-kreisarchiv,Germany,Europe,DE-2261,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2261,Municipal archives,http://www.archive.nrw.de/kommunalarchive/kommunalarchive_a-d/a/Altena_MaerkischerKreis/wir_ueber_uns/index.php,True,True
Münchner Stadtbibliothek / Monacensia im Hildebrandhaus - Literaturarchiv,m-nchner-stadtbibliothek-monacensia-im-hildebrandhaus-literaturarchiv,Germany,Europe,DE-M36a,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-M36a,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.muenchner-stadtbibliothek.de/mon-archiv,True,True
Niedersächsisches Institut für Sportgeschichte e.V.,nieders-chsisches-institut-f-r-sportgeschichte-e-v,Germany,Europe,DE-4401,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-4401,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://nish.de/,True,True
Niedersächsisches Landesarchiv,nieders-chsisches-landesarchiv,Germany,Europe,DE-00000028052,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000028052,Regional archives,http://www.nla.niedersachsen.de,True,True
Oldtimer & Motorrad Club Mering e.V.,oldtimer-motorrad-club-mering-e-v,Germany,Europe,DE-00000029015,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-00000029015,,https://www.omc-mering.de/,True,True
Politisches Archiv des Auswärtigen Amts,politisches-archiv-des-ausw-rtigen-amts,Germany,Europe,DE-2242,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2242,National archives,https://archiv.diplo.de/arc-en,True,True
Rheinisch-Westfälische Technische Hochschule Aachen (RWTH). Hochschularchiv,rheinisch-westf-lische-technische-hochschule-aachen-rwth-hochschularchiv,Germany,Europe,DE-1993,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-1993,University and research archives,http://www.hochschularchiv-aachen.de,True,True
Sächsisches Staatsarchiv,s-chsisches-staatsarchiv,Germany,Europe,DE-D271,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-D271,Regional archives,http://www.archiv.sachsen.de,True,True
Staatsarchiv Amberg,staatsarchiv-amberg,Germany,Europe,DE-2048,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2048,Regional archives,http://www.gda.bayern.de,True,True
Staatsarchiv Augsburg,staatsarchiv-augsburg,Germany,Europe,DE-Aug8,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Aug8,Regional archives,http://www.gda.bayern.de/,True,True
Staatsarchiv Bamberg,staatsarchiv-bamberg,Germany,Europe,DE-2046,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2046,Regional archives,http://www.gda.bayern.de/archive/staatsarchiv-bamberg/,True,True
Staatsarchiv Bremen,staatsarchiv-bremen,Germany,Europe,DE-Bre1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Bre1,Regional archives,http://www.staatsarchiv.bremen.de,True,True
Staatsarchiv Coburg,staatsarchiv-coburg,Germany,Europe,DE-Cb2,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Cb2,Regional archives,http://www.staatliche-archive.bayern.de/archive/coburg/,True,True
Staatsarchiv der Freien und Hansestadt Hamburg,staatsarchiv-der-freien-und-hansestadt-hamburg,Germany,Europe,DE-2089,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2089,Regional archives,http://www.hamburg.de/staatsarchiv/,True,True
Staatsarchiv Landshut,staatsarchiv-landshut,Germany,Europe,DE-Lsh1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Lsh1,Regional archives,http://www.gda.bayern.de/archive/landshut/,True,True
Staatsarchiv München,staatsarchiv-m-nchen,Germany,Europe,DE-2051,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2051,Regional archives,http://www.staatliche-archive.bayern.de/archive/muenchen/,True,True
Staatsarchiv Nürnberg,staatsarchiv-n-rnberg,Germany,Europe,DE-2047,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2047,Regional archives,http://www.gda.bayern.de/archive/nuernberg,True,True
Staatsarchiv Würzburg,staatsarchiv-w-rzburg,Germany,Europe,DE-2049,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2049,Regional archives,http://www.gda.bayern.de,True,True
Stadt- und Stiftsarchiv Aschaffenburg,stadt-und-stiftsarchiv-aschaffenburg,Germany,Europe,DE-2158,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2158,Municipal archives,http://www.archiv-aschaffenburg.de,True,True
Stadtarchiv Bad Berleburg,stadtarchiv-bad-berleburg,Germany,Europe,DE-Blb1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Blb1,Municipal archives,http://www.bad-berleburg.de/index.phtml?sNavID=1746.401&mNavID=1.100&La=1,True,True
Stadtarchiv Bad Homburg,stadtarchiv-bad-homburg,Germany,Europe,DE-2435,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2435,Municipal archives,http://www.bad-homburg.de/stadtarchiv,True,True
Stadtarchiv Barth,stadtarchiv-barth,Germany,Europe,DE-2176,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2176,Municipal archives,http://www.stadt-barth.de,True,True
Stadtarchiv Bergisch Gladbach,stadtarchiv-bergisch-gladbach,Germany,Europe,DE-Bgl1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Bgl1,Municipal archives,http://www.stadtarchiv-gl.de,True,True
Stadtarchiv Bochum - Bochumer Zentrum für Stadtgeschichte,stadtarchiv-bochum-bochumer-zentrum-f-r-stadtgeschichte,Germany,Europe,DE-Bm53,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Bm53,Municipal archives,http://www.bochum.de/stadtarchiv,True,True
Stadtarchiv Darmstadt,stadtarchiv-darmstadt,Germany,Europe,DE-Ds124,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Ds124,Municipal archives,https://www.darmstadt.de/rathaus/buergerservice-rathaus-online/aemter-und-einrichtungen/index.htm?tx_browser_pi1%5Borganisation%5D=36&cHash=abbbdbc6190ccf0719030fbf4d400d57&tx_contrast=1,True,True
Stadtarchiv der Hansestadt Stralsund,stadtarchiv-der-hansestadt-stralsund,Germany,Europe,DE-2186,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2186,Municipal archives,http://stadtarchiv.stralsund.de/,True,True
Stadtarchiv Dinslaken,stadtarchiv-dinslaken,Germany,Europe,DE-Dns1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Dns1,Municipal archives,http://www.dinslaken.de/de/tourismus-freizeit/stadtarchiv/,True,True
Stadtarchiv Dortmund,stadtarchiv-dortmund,Germany,Europe,DE-Dm22,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Dm22,Municipal archives,http://dortmund.de,True,True
Stadtarchiv Duisburg,stadtarchiv-duisburg,Germany,Europe,DE-Db9,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Db9,Municipal archives,http://www.archive.nrw.de/kommunalarchive/kommunalarchive_a-d/d/Duisburg/wir_ueber_uns/profil/index.php,True,True
Stadtarchiv Erkelenz,stadtarchiv-erkelenz,Germany,Europe,DE-Erk1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Erk1,Municipal archives,http://www.erkelenz.de/de/verwaltung/stadtarchiv/index.html,True,True
Stadtarchiv Eschweiler,stadtarchiv-eschweiler,Germany,Europe,DE-2305,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2305,Municipal archives,,False,True
Stadtarchiv Frankfurt (Oder),stadtarchiv-frankfurt-oder,Germany,Europe,DE-2950,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2950,Municipal archives,https://www.stadtarchiv-ffo.de/,True,True
Stadtarchiv Freiburg im Breisgau,stadtarchiv-freiburg-im-breisgau,Germany,Europe,DE-2329,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2329,Municipal archives,http://www.freiburg.de/stadtarchiv,True,True
Stadtarchiv Fürth,stadtarchiv-f-rth,Germany,Europe,DE-226,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-226,Municipal archives,http://www.schloss-burgfarrnbach.de,True,True
Stadtarchiv Geseke,stadtarchiv-geseke,Germany,Europe,DE-Ges1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Ges1,Municipal archives,http://www.archive.nrw.de/kommunalarchive/kommunalarchive_e-h/g/Geseke/oeffnungszeiten_und_kontakt/index.php,True,True
Stadtarchiv Greven,stadtarchiv-greven,Germany,Europe,DE-Gre1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Gre1,Municipal archives,http://www.greven.net/bildung_soziales_generationen/bildung/stadtarchiv-1/stadtarchiv.php,True,True
Stadtarchiv Halle (Saale),stadtarchiv-halle-saale,Germany,Europe,DE-Ha179,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Ha179,Municipal archives,http://www.stadtarchiv.halle.de,True,True
Stadtarchiv Heilbronn / Otto Rettenmaier Haus - Haus der Stadtgeschichte,stadtarchiv-heilbronn-otto-rettenmaier-haus-haus-der-stadtgeschichte,Germany,Europe,DE-2071,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2071,Municipal archives,http://www.stadtarchiv-heilbronn.de/,True,True
Stadtarchiv Hennef,stadtarchiv-hennef,Germany,Europe,DE-2272,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-2272,Municipal archives,http://www.hennef.de/stadtarchiv,True,True
Stadtarchiv Hilden,stadtarchiv-hilden,Germany,Europe,DE-Hid1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Hid1,Municipal archives,http://www.hilden.de,True,True
Stadtarchiv Hof,stadtarchiv-hof,Germany,Europe,DE-Hf1,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Hf1,Municipal archives,http://www.stadtarchiv-hof.de,True,True
Stadtarchiv Karlsruhe,stadtarchiv-karlsruhe,Germany,Europe,DE-Ka94,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=DE-Ka94,Municipal archives,http://www.karlsruhe.de/stadtarchiv,True,True
